time;model_id;model_name;port_name;data
0;1;r7_c13;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;2;r7_c12;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;3;r7_c1;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;4;r1_c43;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;5;r7_c0;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;6;r6_c5;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;7;r6_c47;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;8;r6_c14;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;9;r6_c44;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;10;r6_c43;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;11;r6_c42;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;12;r6_c41;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;13;r32_c40;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;14;r6_c32;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;15;r3_c32;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;16;r6_c28;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;17;r44_c48;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;18;r25_c27;;{state:1,fuel:2,elev:300,moist:0.15,intensity:0,burn:0}
0;19;r6_c34;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;20;r18_c18;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;21;r23_c16;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;22;r6_c26;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;23;r44_c6;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;24;r6_c25;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;25;r6_c23;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;26;r6_c22;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;27;r10_c26;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;28;r6_c2;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
0;29;r6_c0;;{state:1,fuel:1,elev:300,moist:0.1,intensity:0,burn:0}
